"DATE","MAX_TEMPERATURE_C","WINDSPEED_MAX_KMH","HUMIDITY_MAX_PERCENT"
"2017-01-01",13,10,69
"2017-01-02",12,6,69
"2017-01-03",14,7,73
"2017-01-04",12,11,60
"2017-01-05",11,31,47
"2017-01-06",8,12,40
"2017-01-07",8,9,54
"2017-01-08",11,8,75
"2017-01-09",10,12,75
"2017-01-10",10,7,74
"2017-01-11",10,14,65
"2017-01-12",13,12,84
"2017-01-13",11,54,79
"2017-01-14",9,13,64
"2017-01-15",8,21,68
"2017-01-16",7,13,58
"2017-01-17",7,41,59
"2017-01-18",9,37,56
"2017-01-19",12,23,58
"2017-01-20",13,19,63
"2017-01-21",13,32,63
"2017-01-22",12,19,82
"2017-01-23",13,13,79
"2017-01-24",12,8,81
"2017-01-25",14,5,73
"2017-01-26",13,5,68
"2017-01-27",14,21,74
"2017-01-28",14,19,69
"2017-01-29",14,8,73
"2017-01-30",12,9,77
"2017-01-31",12,11,90
"2017-02-01",15,8,76
"2017-02-02",16,13,83
"2017-02-03",14,12,88
"2017-02-04",13,23,91
"2017-02-05",13,20,94
"2017-02-06",12,20,76
"2017-02-07",15,10,83
"2017-02-08",11,9,83
"2017-02-09",13,21,75
"2017-02-10",14,11,83
"2017-02-11",16,10,70
"2017-02-12",17,22,72
"2017-02-13",16,23,70
"2017-02-14",15,17,75
"2017-02-15",16,9,77
"2017-02-16",16,11,80
"2017-02-17",15,10,77
"2017-02-18",15,11,77
"2017-02-19",15,13,65
"2017-02-20",15,11,77
"2017-02-21",15,14,82
"2017-02-22",17,13,88
"2017-02-23",18,10,71
"2017-02-24",19,14,80
"2017-02-25",16,9,69
"2017-02-26",16,13,68
"2017-02-27",15,13,81
"2017-02-28",14,22,90
"2017-03-01",14,25,67
"2017-03-02",16,10,81
"2017-03-03",18,8,74
"2017-03-04",13,32,75
"2017-03-05",13,16,72
"2017-03-06",14,28,89
"2017-03-07",16,31,52
"2017-03-08",17,17,59
"2017-03-09",19,13,81
"2017-03-10",22,10,64
"2017-03-11",18,13,58
"2017-03-12",17,13,83
"2017-03-13",19,9,67
"2017-03-14",18,14,69
"2017-03-15",19,13,54
"2017-03-16",19,14,74
"2017-03-17",18,12,58
"2017-03-18",17,12,80
"2017-03-19",18,15,87
"2017-03-20",18,9,86
"2017-03-21",18,14,84
"2017-03-22",18,14,80
"2017-03-23",19,14,74
"2017-03-24",22,24,61
"2017-03-25",17,25,89
"2017-03-26",17,15,76
"2017-03-27",17,16,74
"2017-03-28",17,15,66
"2017-03-29",18,15,66
"2017-03-30",18,13,65
"2017-03-31",21,13,57
"2017-04-01",18,10,65
"2017-04-02",16,8,88
"2017-04-03",18,9,82
"2017-04-04",20,11,73
"2017-04-05",17,13,75
"2017-04-06",18,10,76
"2017-04-07",17,14,73
"2017-04-08",20,15,67
"2017-04-09",19,12,67
"2017-04-10",20,14,69
"2017-04-11",18,14,76
"2017-04-12",18,14,78
"2017-04-13",19,15,74
"2017-04-14",19,14,71
"2017-04-15",18,15,67
"2017-04-16",18,15,72
"2017-04-17",18,16,72
"2017-04-18",18,17,69
"2017-04-19",16,16,53
"2017-04-20",15,10,47
"2017-04-21",16,15,53
"2017-04-22",18,14,61
"2017-04-23",18,18,65
"2017-04-24",20,13,63
"2017-04-25",20,15,56
"2017-04-26",20,18,66
"2017-04-27",17,18,82
"2017-04-28",13,24,61
"2017-04-29",16,16,54
"2017-04-30",19,15,57
"2017-05-01",18,17,78
"2017-05-02",17,18,84
"2017-05-03",17,17,79
"2017-05-04",18,15,86
"2017-05-05",22,15,71
"2017-05-06",21,27,79
"2017-05-07",18,21,91
"2017-05-08",20,12,82
"2017-05-09",20,11,86
"2017-05-10",22,11,88
"2017-05-11",22,12,72
"2017-05-12",19,14,82
"2017-05-13",22,19,86
"2017-05-14",21,16,80
"2017-05-15",22,15,77
"2017-05-16",23,17,83
"2017-05-17",23,16,69
"2017-05-18",23,11,73
"2017-05-19",19,18,73
"2017-05-20",18,22,82
"2017-05-21",22,15,76
"2017-05-22",22,15,81
"2017-05-23",23,14,68
"2017-05-24",24,15,73
"2017-05-25",23,15,75
"2017-05-26",23,14,76
"2017-05-27",25,15,73
"2017-05-28",25,15,68
"2017-05-29",25,15,69
"2017-05-30",25,12,70
"2017-05-31",23,13,75
"2017-06-01",25,13,72
"2017-06-02",25,14,77
"2017-06-03",25,13,84
"2017-06-04",24,17,73
"2017-06-05",24,12,75
"2017-06-06",22,21,84
"2017-06-07",21,18,71
"2017-06-08",24,15,77
"2017-06-09",26,15,70
"2017-06-10",26,15,70
"2017-06-11",27,15,75
"2017-06-12",27,16,66
"2017-06-13",28,15,70
"2017-06-14",29,15,71
"2017-06-15",28,17,59
"2017-06-16",28,17,73
"2017-06-17",28,16,78
"2017-06-18",28,13,64
"2017-06-19",26,19,69
"2017-06-20",27,17,67
"2017-06-21",28,14,63
"2017-06-22",28,15,69
