datetime,TEMPERATURE,WINDSPEED,HUMIDITY
2009-01-01,14.0,8.0,90.0
2009-01-02,10.0,14.0,91.0
2009-01-03,10.0,22.0,89.0
2009-01-04,9.0,14.0,85.0
2009-01-05,12.0,15.0,73.0
2009-01-06,10.0,12.0,84.0
2009-01-07,11.0,23.0,91.0
2009-01-08,8.0,8.0,88.0
2009-01-09,12.0,17.0,90.0
2009-01-10,12.0,16.0,89.0
2009-01-11,12.0,14.0,86.0
2009-01-12,13.0,14.0,91.0
2009-01-13,14.0,17.0,91.0
2009-01-14,12.0,18.0,87.0
2009-01-15,10.0,15.0,85.0
2009-01-16,11.0,9.0,89.0
2009-01-17,13.0,8.0,89.0
2009-01-18,15.0,15.0,84.0
2009-01-19,15.0,27.0,94.0
2009-01-20,14.0,36.0,96.0
2009-01-21,11.0,22.0,80.0
2009-01-22,10.0,19.0,79.0
2009-01-23,16.0,19.0,96.0
2009-01-24,17.0,37.0,93.0
2009-01-25,8.0,18.0,88.0
2009-01-26,12.0,27.0,92.0
2009-01-27,9.0,31.0,90.0
2009-01-28,10.0,15.0,84.0
2009-01-29,12.0,10.0,85.0
2009-01-30,13.0,9.0,86.0
2009-01-31,13.0,12.0,86.0
2009-02-01,12.0,12.0,89.0
2009-02-02,13.0,22.0,90.0
2009-02-03,16.0,18.0,90.0
2009-02-04,13.0,19.0,88.0
2009-02-05,15.0,22.0,93.0
2009-02-06,15.0,30.0,92.0
2009-02-07,12.0,25.0,90.0
2009-02-08,8.0,22.0,85.0
2009-02-09,10.0,21.0,83.0
2009-02-10,15.0,27.0,94.0
2009-02-11,10.0,40.0,80.0
2009-02-12,10.0,18.0,64.0
2009-02-13,7.0,25.0,74.0
2009-02-14,8.0,12.0,52.0
2009-02-15,8.0,17.0,58.0
2009-02-16,9.0,8.0,65.0
2009-02-17,11.0,18.0,70.0
2009-02-18,9.0,20.0,88.0
2009-02-19,10.0,13.0,80.0
2009-02-20,9.0,12.0,73.0
2009-02-21,12.0,10.0,84.0
2009-02-22,13.0,15.0,81.0
2009-02-23,16.0,12.0,87.0
2009-02-24,12.0,17.0,85.0
2009-02-25,9.0,23.0,80.0
2009-02-26,12.0,19.0,79.0
2009-02-27,16.0,15.0,85.0
2009-02-28,15.0,14.0,85.0
2009-03-01,14.0,13.0,91.0
2009-03-02,13.0,13.0,95.0
2009-03-03,15.0,15.0,91.0
2009-03-04,16.0,30.0,95.0
2009-03-05,12.0,41.0,94.0
2009-03-06,10.0,22.0,84.0
2009-03-07,11.0,22.0,76.0
2009-03-08,14.0,19.0,76.0
2009-03-09,14.0,38.0,74.0
2009-03-10,14.0,24.0,73.0
2009-03-11,15.0,22.0,82.0
2009-03-12,14.0,12.0,76.0
2009-03-13,16.0,22.0,80.0
2009-03-14,16.0,14.0,93.0
2009-03-15,16.0,7.0,92.0
2009-03-16,14.0,16.0,87.0
2009-03-17,17.0,10.0,72.0
2009-03-18,18.0,10.0,64.0
2009-03-19,18.0,17.0,86.0
2009-03-20,11.0,32.0,88.0
2009-03-21,10.0,28.0,63.0
2009-03-22,13.0,21.0,53.0
2009-03-23,16.0,18.0,79.0
2009-03-24,18.0,53.0,70.0
2009-03-25,13.0,23.0,68.0
2009-03-26,14.0,24.0,72.0
2009-03-27,17.0,20.0,93.0
2009-03-28,18.0,18.0,89.0
2009-03-29,16.0,34.0,97.0
2009-03-30,14.0,12.0,86.0
2009-03-31,17.0,17.0,96.0
2009-04-01,15.0,16.0,93.0
2009-04-02,13.0,12.0,89.0
2009-04-03,14.0,10.0,92.0
2009-04-04,17.0,11.0,91.0
2009-04-05,17.0,10.0,87.0
2009-04-06,18.0,10.0,89.0
2009-04-07,19.0,11.0,84.0
2009-04-08,15.0,10.0,95.0
2009-04-09,18.0,13.0,90.0
2009-04-10,20.0,9.0,85.0
2009-04-11,18.0,23.0,84.0
2009-04-12,17.0,15.0,93.0
2009-04-13,18.0,20.0,70.0
2009-04-14,18.0,15.0,89.0
2009-04-15,20.0,13.0,79.0
2009-04-16,16.0,23.0,92.0
2009-04-17,16.0,21.0,88.0
2009-04-18,16.0,9.0,85.0
2009-04-19,15.0,9.0,84.0
2009-04-20,17.0,8.0,88.0
2009-04-21,19.0,24.0,89.0
2009-04-22,19.0,24.0,84.0
2009-04-23,22.0,13.0,73.0
2009-04-24,17.0,13.0,87.0
2009-04-25,20.0,21.0,90.0
2009-04-26,20.0,18.0,96.0
2009-04-27,16.0,29.0,95.0
2009-04-28,17.0,29.0,84.0
2009-04-29,16.0,34.0,79.0
2009-04-30,18.0,20.0,71.0
2009-05-01,19.0,13.0,69.0
2009-05-02,22.0,13.0,69.0
2009-05-03,21.0,13.0,85.0
2009-05-04,21.0,14.0,65.0
2009-05-05,20.0,13.0,81.0
2009-05-06,21.0,11.0,77.0
2009-05-07,21.0,13.0,80.0
2009-05-08,23.0,8.0,70.0
2009-05-09,23.0,11.0,66.0
2009-05-10,23.0,14.0,64.0
2009-05-11,25.0,8.0,71.0
2009-05-12,26.0,9.0,62.0
2009-05-13,26.0,9.0,58.0
2009-05-14,23.0,9.0,82.0
2009-05-15,22.0,11.0,90.0
2009-05-16,22.0,15.0,87.0
2009-05-17,24.0,9.0,74.0
2009-05-18,24.0,10.0,74.0
2009-05-19,25.0,10.0,65.0
2009-05-20,27.0,6.0,63.0
2009-05-21,28.0,10.0,78.0
