datetime,TEMPERATURE,WINDSPEED,HUMIDITY
2009-01-01,14,8,90
2009-01-02,10,14,91
2009-01-03,10,22,89
2009-01-04,9,14,85
2009-01-05,12,15,73
2009-01-06,10,12,84
2009-01-07,11,23,91
2009-01-08,8,8,88
2009-01-09,12,17,90
2009-01-10,12,16,89
2009-01-11,12,14,86
2009-01-12,13,14,91
2009-01-13,14,17,91
2009-01-14,12,18,87
2009-01-15,10,15,85
2009-01-16,11,9,89
2009-01-17,13,8,89
2009-01-18,15,15,84
2009-01-19,15,27,94
2009-01-20,14,36,96
2009-01-21,11,22,80
2009-01-22,10,19,79
2009-01-23,16,19,96
2009-01-24,17,37,93
2009-01-25,8,18,88
2009-01-26,12,27,92
2009-01-27,9,31,90
2009-01-28,10,15,84
2009-01-29,12,10,85
2009-01-30,13,9,86
2009-01-31,13,12,86
2009-02-01,12,12,89
2009-02-02,13,22,90
2009-02-03,16,18,90
2009-02-04,13,19,88
2009-02-05,15,22,93
2009-02-06,15,30,92
2009-02-07,12,25,90
2009-02-08,8,22,85
2009-02-09,10,21,83
2009-02-10,15,27,94
2009-02-11,10,40,80
2009-02-12,10,18,64
2009-02-13,7,25,74
2009-02-14,8,12,52
2009-02-15,8,17,58
2009-02-16,9,8,65
2009-02-17,11,18,70
2009-02-18,9,20,88
2009-02-19,10,13,80
2009-02-20,9,12,73
2009-02-21,12,10,84
2009-02-22,13,15,81
2009-02-23,16,12,87
2009-02-24,12,17,85
2009-02-25,9,23,80
2009-02-26,12,19,79
2009-02-27,16,15,85
2009-02-28,15,14,85
2009-03-01,14,13,91
2009-03-02,13,13,95
2009-03-03,15,15,91
2009-03-04,16,30,95
2009-03-05,12,41,94
2009-03-06,10,22,84
2009-03-07,11,22,76
2009-03-08,14,19,76
2009-03-09,14,38,74
2009-03-10,14,24,73
2009-03-11,15,22,82
2009-03-12,14,12,76
2009-03-13,16,22,80
2009-03-14,16,14,93
2009-03-15,16,7,92
2009-03-16,14,16,87
2009-03-17,17,10,72
2009-03-18,18,10,64
2009-03-19,18,17,86
2009-03-20,11,32,88
2009-03-21,10,28,63
2009-03-22,13,21,53
2009-03-23,16,18,79
2009-03-24,18,53,70
2009-03-25,13,23,68
2009-03-26,14,24,72
2009-03-27,17,20,93
2009-03-28,18,18,89
2009-03-29,16,34,97
2009-03-30,14,12,86
2009-03-31,17,17,96
2009-04-01,15,16,93
2009-04-02,13,12,89
2009-04-03,14,10,92
2009-04-04,17,11,91
2009-04-05,17,10,87
2009-04-06,18,10,89
2009-04-07,19,11,84
2009-04-08,15,10,95
2009-04-09,18,13,90
2009-04-10,20,9,85
2009-04-11,18,23,84
2009-04-12,17,15,93
2009-04-13,18,20,70
2009-04-14,18,15,89
2009-04-15,20,13,79
2009-04-16,16,23,92
2009-04-17,16,21,88
2009-04-18,16,9,85
2009-04-19,15,9,84
2009-04-20,17,8,88
2009-04-21,19,24,89
2009-04-22,19,24,84
2009-04-23,22,13,73
2009-04-24,17,13,87
2009-04-25,20,21,90
2009-04-26,20,18,96
2009-04-27,16,29,95
2009-04-28,17,29,84
2009-04-29,16,34,79
2009-04-30,18,20,71
2009-05-01,19,13,69
2009-05-02,22,13,69
2009-05-03,21,13,85
2009-05-04,21,14,65
2009-05-05,20,13,81
2009-05-06,21,11,77
2009-05-07,21,13,80
2009-05-08,23,8,70
2009-05-09,23,11,66
2009-05-10,23,14,64
2009-05-11,25,8,71
2009-05-12,26,9,62
2009-05-13,26,9,58
2009-05-14,23,9,82
2009-05-15,22,11,90
2009-05-16,22,15,87
2009-05-17,24,9,74
2009-05-18,24,10,74
2009-05-19,25,10,65
2009-05-20,27,6,63
2009-05-21,28,10,78
2009-05-22,26,15,77
2009-05-23,26,10,71
2009-05-24,28,12,60
2009-05-25,29,8,70
2009-05-26,28,16,73
