DATE,TEMPERATURE,WINDSPEED,HUMIDITY,PRECIPITATION
2009-01-01,14,8,90,0.5
2009-01-02,10,14,91,16.3
2009-01-03,10,22,89,2.8
2009-01-04,9,14,85,0.1
2009-01-05,12,15,73,0
2009-01-06,10,12,84,2.5
2009-01-07,11,23,91,6.9
2009-01-08,8,8,88,2
2009-01-09,12,17,90,5.2
2009-01-10,12,16,89,2.8
2009-01-11,12,14,86,0.4
2009-01-12,13,14,91,0
2009-01-13,14,17,91,8.6
2009-01-14,12,18,87,9.7
2009-01-15,10,15,85,1.2
2009-01-16,11,9,89,0.3
2009-01-17,13,8,89,0
2009-01-18,15,15,84,0.2
2009-01-19,15,27,94,4.9
2009-01-20,14,36,96,41.4
2009-01-21,11,22,80,0.2
2009-01-22,10,19,79,0.3
2009-01-23,16,19,96,13.1
2009-01-24,17,37,93,26.9
2009-01-25,8,18,88,7.7
2009-01-26,12,27,92,23.4
2009-01-27,9,31,90,20
2009-01-28,10,15,84,0.5
2009-01-29,12,10,85,0
2009-01-30,13,9,86,0
2009-01-31,13,12,86,0.3
2009-02-01,12,12,89,5.8
2009-02-02,13,22,90,5
2009-02-03,16,18,90,14.1
2009-02-04,13,19,88,19.2
2009-02-05,15,22,93,6.6
2009-02-06,15,30,92,7.3
2009-02-07,12,25,90,14.8
2009-02-08,8,22,85,2.8
2009-02-09,10,21,83,0.7
2009-02-10,15,27,94,2.5
2009-02-11,10,40,80,10.6
2009-02-12,10,18,64,2.6
2009-02-13,7,25,74,7.8
2009-02-14,8,12,52,0.5
2009-02-15,8,17,58,0
2009-02-16,9,8,65,0
2009-02-17,11,18,70,0
2009-02-18,9,20,88,0.5
2009-02-19,10,13,80,0
2009-02-20,9,12,73,0
2009-02-21,12,10,84,0
2009-02-22,13,15,81,0
2009-02-23,16,12,87,0.9
2009-02-24,12,17,85,1
2009-02-25,9,23,80,0.6
2009-02-26,12,19,79,0.3
2009-02-27,16,15,85,0.1
2009-02-28,15,14,85,0
2009-03-01,14,13,91,7.3
2009-03-02,13,13,95,21
2009-03-03,15,15,91,0.8
2009-03-04,16,30,95,37.8
2009-03-05,12,41,94,23
2009-03-06,10,22,84,2.9
2009-03-07,11,22,76,0.2
2009-03-08,14,19,76,0
2009-03-09,14,38,74,0
2009-03-10,14,24,73,0.5
2009-03-11,15,22,82,0.8
2009-03-12,14,12,76,0
2009-03-13,16,22,80,0
2009-03-14,16,14,93,0
2009-03-15,16,7,92,0
2009-03-16,14,16,87,1.4
2009-03-17,17,10,72,0
2009-03-18,18,10,64,0
2009-03-19,18,17,86,0.1
